lambda,round,consensus_energy,param_change,leader_utility
0.1,1,0.14141323125084826,0.4097632364286161,41.50000000000001
0.1,2,0.12090198134660068,0.04637833363884038,41.50000000000001
0.1,3,0.10396638921206955,0.04210873693367656,41.50000000000001
0.1,4,0.08988849753407026,0.03836108436969754,41.50000000000001
0.1,5,0.07810691171572808,0.03506515689907334,41.50000000000001
0.1,6,0.06818124707141729,0.03215969816202574,41.50000000000001
0.1,7,0.05976479740618319,0.029591403548147925,41.50000000000001
0.1,8,0.052583508944818246,0.02731402064087242,41.50000000000001
0.1,9,0.046419791588341544,0.0252875418470317,41.50000000000001
0.1,10,0.04110004258842374,0.023477474608048894,41.50000000000001
0.1,11,0.03648502051913567,0.021854178756201107,41.50000000000001
0.1,12,0.03246240870713057,0.020392264001258948,41.50000000000001
0.1,13,0.028941061463527845,0.01907004303299669,41.50000000000001
0.1,14,0.02584654457492423,0.017869037289095224,41.50000000000001
0.1,15,0.023117672003875805,0.01677353318807708,41.50000000000001
0.5,1,0.14141323125084826,0.4097632364286161,41.50000000000001
0.5,2,0.12090198134660068,0.04637833363884038,41.50000000000001
0.5,3,0.10396638921206955,0.04210873693367656,41.50000000000001
0.5,4,0.08988849753407026,0.03836108436969754,41.50000000000001
0.5,5,0.07810691171572808,0.03506515689907334,41.50000000000001
0.5,6,0.06818124707141729,0.03215969816202574,41.50000000000001
0.5,7,0.05976479740618319,0.029591403548147925,41.50000000000001
0.5,8,0.052583508944818246,0.02731402064087242,41.50000000000001
0.5,9,0.046419791588341544,0.0252875418470317,41.50000000000001
0.5,10,0.04110004258842374,0.023477474608048894,41.50000000000001
0.5,11,0.03648502051913567,0.021854178756201107,41.50000000000001
0.5,12,0.03246240870713057,0.020392264001258948,41.50000000000001
0.5,13,0.028941061463527845,0.01907004303299669,41.50000000000001
0.5,14,0.02584654457492423,0.017869037289095224,41.50000000000001
0.5,15,0.023117672003875805,0.01677353318807708,41.50000000000001
1.0,1,0.14141323125084826,0.4097632364286161,41.50000000000001
1.0,2,0.12090198134660068,0.04637833363884038,41.50000000000001
1.0,3,0.10396638921206955,0.04210873693367656,41.50000000000001
1.0,4,0.08988849753407026,0.03836108436969754,41.50000000000001
1.0,5,0.07810691171572808,0.03506515689907334,41.50000000000001
1.0,6,0.06818124707141729,0.03215969816202574,41.50000000000001
1.0,7,0.05976479740618319,0.029591403548147925,41.50000000000001
1.0,8,0.052583508944818246,0.02731402064087242,41.50000000000001
1.0,9,0.046419791588341544,0.0252875418470317,41.50000000000001
1.0,10,0.04110004258842374,0.023477474608048894,41.50000000000001
1.0,11,0.03648502051913567,0.021854178756201107,41.50000000000001
1.0,12,0.03246240870713057,0.020392264001258948,41.50000000000001
1.0,13,0.028941061463527845,0.01907004303299669,41.50000000000001
1.0,14,0.02584654457492423,0.017869037289095224,41.50000000000001
1.0,15,0.023117672003875805,0.01677353318807708,41.50000000000001
2.0,1,0.14141323125084826,0.4097632364286161,41.50000000000001
2.0,2,0.12090198134660068,0.04637833363884038,41.50000000000001
2.0,3,0.10396638921206955,0.04210873693367656,41.50000000000001
2.0,4,0.08988849753407026,0.03836108436969754,41.50000000000001
2.0,5,0.07810691171572808,0.03506515689907334,41.50000000000001
2.0,6,0.06818124707141729,0.03215969816202574,41.50000000000001
2.0,7,0.05976479740618319,0.029591403548147925,41.50000000000001
2.0,8,0.052583508944818246,0.02731402064087242,41.50000000000001
2.0,9,0.046419791588341544,0.0252875418470317,41.50000000000001
2.0,10,0.04110004258842374,0.023477474608048894,41.50000000000001
2.0,11,0.03648502051913567,0.021854178756201107,41.50000000000001
2.0,12,0.03246240870713057,0.020392264001258948,41.50000000000001
2.0,13,0.028941061463527845,0.01907004303299669,41.50000000000001
2.0,14,0.02584654457492423,0.017869037289095224,41.50000000000001
2.0,15,0.023117672003875805,0.01677353318807708,41.50000000000001
5.0,1,0.14141323125084826,0.4097632364286161,41.50000000000001
5.0,2,0.12090198134660068,0.04637833363884038,41.50000000000001
5.0,3,0.10396638921206955,0.04210873693367656,41.50000000000001
5.0,4,0.08988849753407026,0.03836108436969754,41.50000000000001
5.0,5,0.07810691171572808,0.03506515689907334,41.50000000000001
5.0,6,0.06818124707141729,0.03215969816202574,41.50000000000001
5.0,7,0.05976479740618319,0.029591403548147925,41.50000000000001
5.0,8,0.052583508944818246,0.02731402064087242,41.50000000000001
5.0,9,0.046419791588341544,0.0252875418470317,41.50000000000001
5.0,10,0.04110004258842374,0.023477474608048894,41.50000000000001
5.0,11,0.03648502051913567,0.021854178756201107,41.50000000000001
5.0,12,0.03246240870713057,0.020392264001258948,41.50000000000001
5.0,13,0.028941061463527845,0.01907004303299669,41.50000000000001
5.0,14,0.02584654457492423,0.017869037289095224,41.50000000000001
5.0,15,0.023117672003875805,0.01677353318807708,41.50000000000001
